"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",11.38000011,11.46000004,11.60999966,11.64999962,11.64999962,11.64999962,11.64000034,11.64000034,11.68999958,11.64999962,11.63000011,11.68000031,11.68000031,11.60999966,11.52000046,11.34000015,11.18000031,11.10999966,11.46000004,11.52000046,11.51000023,11.52000046,11.53999996,11.44999981,11.39000034,11.31000042,11.18000031,11.06000042,10.97999954,11.72999954
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",3.75,3.779999971,3.849999905,3.869999886,3.859999895,3.859999895,3.859999895,3.859999895,3.880000114,3.869999886,3.849999905,3.880000114,3.880000114,3.849999905,3.809999943,3.730000019,3.660000086,3.630000114,3.779999971,9.430000305,7.360000134,7.369999886,7.380000114,7.309999943,7.260000229,7.199999809,7.099999905,7,6.929999828,7.699999809
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",16.21999931,16.32999992,16.52000046,16.56999969,16.56999969,16.56999969,16.54999924,16.54999924,16.62000084,16.57999992,16.54000092,16.61000061,16.61000061,16.52000046,16.39999962,16.17000008,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.05999947,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,11.69999981
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",11.50442539,12.00210914,12.75703327,12.87235932,13.16419222,12.32761992,11.84352379,11.90618617,12.02161115,12.45970754,12.31786385,12.31953602,12.27405135,11.2662593,11.10038071,10.31336064,9.88651849,9.556738416,9.200684732,9.270222373,10.30230235,10.49596508,10.56410964,10.67776679,10.71379275,10.50773763,10.71849716,10.25679764,10.20722213,11.48146766
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",1.75,1.75,1.730000019,1.75999999,1.799999952,1.889999986,1.980000019,2.069999933,2.150000095,2.25,2.410000086,2.559999943,2.710000038,2.900000095,3.119999886,3.059999943,2.99000001,2.849999905,2.529999971,2.359999895,2.230000019,2.089999914,1.950000048,1.840000033,1.74000001,1.639999986,2.460000038,2.230000019,2.279999971,5
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.610000134,7.96999979,8.350000381,9.220000267,9.840000153,11.67000008
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.05000019,10.90999985,10.84000015,10.72000027,10.53999996,10.34000015,10.06999969,9.81000042,13.51000023,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70999908,18.96999931,18.80999947,20.20999908
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"Australia","AUS","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.400000095,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.610000134
"Austria","AUT","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",3.420000076,3.589999914,4.25,3.539999962,4.349999905,5.28000021,5.150000095,5.519999981,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.829999924,5.630000114,5.239999771,4.860000134,4.130000114,5.300000191,4.820000172,4.559999943,4.869999886,5.340000153,5.619999886,5.71999979,6.010000229,5.5,4.849999905,4.489999771,5.769999981
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",0.899999976,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,4.840000153,6.269999981
"Burundi","BDI","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",1.75,1.789999962,1.850000024,1.870000005,1.870000005,1.870000005,1.870000005,1.870000005,1.889999986,1.870000005,1.860000014,1.889999986,1.889999986,1.850000024,1.809999943,1.730000019,1.659999967,1.629999995,1.75,1.74000001,1.700000048,1.669999957,1.639999986,1.570000052,1.549999952,1.529999971,1.480000019,1.450000048,1.419999957,0.800000012
"Belgium","BEL","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",6.989999771,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.960000038,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,6.010000229
"Benin","BEN","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",1.480000019,1.50999999,1.460000038,1.370000005,1.269999981,1.179999948,1.080000043,1,0.920000017,0.839999974,0.75,0.689999998,0.730000019,0.769999981,0.800000012,0.810000002,0.819999993,0.850000024,0.970000029,1.039999962,2.650000095,2.650000095,2.660000086,2.609999895,2.569999933,2.519999981,2.440000057,2.369999886,2.319999933,2.539999962
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",2.480000019,2.50999999,2.559999943,2.579999924,2.539999962,2.50999999,2.470000029,2.440000057,2.519999981,2.569999933,2.630000114,2.710000038,2.779999971,3.369999886,4,3.640000105,3.299999952,3.619999886,4.230000019,4.679999828,5.119999886,5.579999924,6.070000172,6.480000019,6.039999962,5.599999905,5.130000114,4.699999809,4.619999886,4.960000038
"Bangladesh","BGD","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",2.200000048,2.269999981,2.359999895,2.420000076,2.470000029,2.50999999,2.690000057,2.869999886,3.089999914,3.269999981,3.589999914,3.960000038,4.320000172,4.300000191,4.25,3.589999914,3.910000086,4.289999962,5,3.380000114,3.710000038,4.059999943,4.429999828,4.389999866,4.380000114,4.349999905,4.369999886,4.289999962,4.21999979,5.300000191
"Bulgaria","BGR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",13.39999962,13.5,13.67000008,13.72000027,13.71000004,13.72000027,13.69999981,12.19999981,14.10000038,16.21999931,19.92000008,18.11000061,13.72999954,12.03999996,10.07999992,8.949999809,6.880000114,5.610000134,6.820000172,10.27999973,11.26000023,12.27000046,12.93999958,11.42000008,9.140000343,7.579999924,6.159999847,5.210000038,4.230000019,5.710000038
"Bahrain","BHR","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",0.879999995,0.860000014,0.829999983,0.839999974,0.850000024,0.870000005,0.899999976,0.920000017,0.930000007,0.949999988,0.980000019,0.980000019,1,1.029999971,1.070000052,1.129999995,1.200000048,1.220000029,1.129999995,1.129999995,1.179999948,1.200000048,1.220000029,1.269999981,1.320000052,1.379999995,1.440000057,1.50999999,1.559999943,4.090000153
""Bahamas"," The,BHS,Unemployment"," total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,12.1700000",,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS",17.54999924,18.43000031,19.39999962,20.29000092,21.12999916,22.01000023,22.87999916,23.78000069,24.78000069,25.67000008,26.59000015,27.64999962,28.63999939,29.54000092,30.39999962,31.11000061,28.97999954,23.40999985,24.06999969,27.30999947,27.57999992,28.01000023,27.48999977,27.52000046,27.69000053,25.40999985,20.53000069,18.39999962,15.68999958,16.85000038
